member_id,member_age,membership_tenure_years,annual_contribution_amount,super_balance,investment_return_percent,withdrawal_frequency_per_year,portal_login_frequency,customer_support_calls,insurance_opt_in,investment_plan_type,employer_category,mobile_app_usage,financial_adviser_interaction,risk_profile,churn
MSA101113,30,10,30814.73,1065644.77,-8.71,6,9,14,Yes,Conservative,Private,High,3,Medium Risk,1
MSA101114,66,1,35006.55,1263410.14,-1.58,9,36,0,Yes,Balanced,Government,High,6,Medium Risk,0
MSA101115,50,22,11976.38,2436722.04,19.13,8,41,8,Yes,Balanced,Self Employed,High,7,Medium Risk,0
MSA101116,55,6,11066.8,3883225.22,6.57,6,28,14,No,Balanced,Self Employed,Low,5,Medium Risk,0
MSA101117,65,13,33564.94,1527249.01,-1.95,5,38,3,No,Conservative,Corporate,Medium,3,Medium Risk,0
MSA101118,52,15,24353.14,1696681.97,-6.02,7,33,11,No,Balanced,Private,Medium,1,High Risk,0
MSA101119,30,4,39154.57,3090784.24,17.61,5,42,0,Yes,Conservative,Corporate,High,9,Medium Risk,0
MSA101120,69,13,24193.13,1240839.34,0.87,3,46,0,Yes,Conservative,Private,Medium,7,Low Risk,0
MSA101121,44,24,20788.31,3086353.18,-0.8,7,22,6,Yes,High Growth,Corporate,Low,0,Medium Risk,0
MSA101122,50,20,17013.17,2032023.92,15.74,9,25,1,Yes,Growth,Self Employed,High,8,Medium Risk,0
MSA101123,38,24,19072.26,318028.62,8.13,4,18,6,Yes,High Growth,Self Employed,Medium,7,Medium Risk,0
MSA101124,38,15,13191.43,2064903.37,-4.94,9,6,11,Yes,Balanced,Corporate,High,2,Medium Risk,1
MSA101125,39,8,36827.59,4729339.13,2.65,5,18,14,Yes,Balanced,Private,High,9,Medium Risk,0
MSA101126,55,5,23683.4,1719332.8,17.85,5,52,6,No,Conservative,SME,Low,3,Medium Risk,0
MSA101127,70,15,20471.42,1696182.33,17.04,1,16,14,No,High Growth,Private,Low,9,Medium Risk,0
MSA101128,64,4,10058.92,516228.4,-7.9,7,15,9,Yes,Conservative,Corporate,Medium,3,High Risk,0
MSA101129,54,12,18170.52,3110837.87,-1.94,8,48,13,Yes,High Growth,Private,Low,1,High Risk,1
MSA101130,55,13,29476.42,4371062.7,-5.36,7,8,8,Yes,High Growth,Government,High,9,High Risk,0
MSA101131,40,2,31251.78,1830445.32,6.01,2,13,12,Yes,High Growth,Private,Low,4,Medium Risk,1
MSA101132,67,19,28032.73,1399857.51,12.5,2,55,6,No,High Growth,Self Employed,Medium,2,Low Risk,0
MSA101133,31,19,26144.13,4876601.68,-1.13,6,43,12,Yes,High Growth,Self Employed,Medium,0,Medium Risk,0
MSA101134,36,4,16358.5,3885618.44,12.74,5,57,13,Yes,Growth,Government,Medium,1,Medium Risk,0
MSA101135,47,4,21559.44,3031635.62,10.06,5,7,0,Yes,Balanced,Private,Low,6,Low Risk,0
MSA101136,56,11,26458.71,1761821.27,11.85,10,17,11,Yes,High Growth,SME,Low,0,Medium Risk,0
MSA101137,63,5,37775.31,1152501.19,18.45,8,50,12,Yes,High Growth,Private,Low,1,High Risk,0
MSA101138,56,20,25807.17,3666291.99,2.74,5,32,7,Yes,Conservative,Self Employed,Low,9,Medium Risk,0
MSA101139,46,11,33800.33,2823806.64,0.28,1,22,7,Yes,Balanced,Self Employed,Low,6,Low Risk,0
MSA101140,72,10,11277.57,2775957.09,10.52,1,55,3,Yes,Balanced,Corporate,Medium,0,Medium Risk,0
MSA101141,73,8,34622.8,546013.6,14.23,7,51,12,Yes,Balanced,Self Employed,Medium,6,Low Risk,0
MSA101142,53,6,30731.19,2802137.66,-4.26,9,57,7,No,High Growth,Corporate,Low,7,Medium Risk,0
MSA101143,54,6,34751.0,4300099.95,15.4,7,13,3,No,Conservative,Self Employed,High,1,Medium Risk,0
MSA101144,36,8,29431.53,4789292.43,-8.26,5,47,14,No,Balanced,Self Employed,Medium,3,Medium Risk,0
MSA101145,35,23,30555.84,788076.87,-9.81,1,23,7,No,Conservative,SME,High,6,Low Risk,0
MSA101146,53,15,33805.52,3388533.79,-5.25,10,54,4,Yes,Growth,Corporate,High,0,Medium Risk,0
MSA101147,62,14,19105.21,2898003.89,19.36,10,29,3,Yes,Growth,Corporate,Medium,5,Low Risk,0
MSA101148,58,11,23702.38,4513180.83,5.71,6,22,5,No,Conservative,Self Employed,High,4,Medium Risk,0
MSA101149,72,12,27572.36,3862573.95,-8.6,2,1,1,No,High Growth,Corporate,High,5,Medium Risk,0
MSA101150,51,13,31731.48,4941013.25,19.92,6,29,11,No,Balanced,Self Employed,Medium,7,Low Risk,0
MSA101151,55,8,17174.91,4901616.06,12.35,9,48,1,Yes,Growth,Self Employed,Medium,0,Medium Risk,0
MSA101152,57,18,25185.26,1371060.21,15.14,7,5,1,Yes,Growth,Private,Low,2,Low Risk,0
MSA101153,50,1,34301.36,3816551.82,-3.61,7,58,8,Yes,Conservative,Corporate,Medium,8,High Risk,0
MSA101154,36,15,12786.86,2856494.3,-6.84,2,35,14,Yes,High Growth,Government,High,7,High Risk,0
MSA101155,46,8,23121.48,1356925.88,5.45,2,55,13,No,Conservative,Corporate,Medium,3,Low Risk,0
MSA101156,49,11,8551.74,1209538.96,13.17,2,10,9,No,Conservative,Corporate,Low,9,Medium Risk,0
MSA101157,70,12,29280.88,666535.49,9.13,9,19,2,No,Conservative,SME,Medium,8,Low Risk,0
MSA101158,49,12,20999.3,4042705.12,8.93,6,37,14,Yes,Conservative,Government,High,6,Medium Risk,0
MSA101159,51,4,23791.18,1784161.66,12.71,8,7,9,Yes,Conservative,Government,Medium,1,High Risk,0
MSA101160,57,16,21725.6,4358187.73,-3.19,2,46,3,Yes,High Growth,SME,High,0,Medium Risk,0
MSA101161,69,4,29092.52,3257919.06,9.85,9,35,9,Yes,Conservative,SME,Medium,0,Low Risk,0
MSA101162,36,5,34636.89,3438218.11,1.76,8,45,11,Yes,High Growth,Corporate,Low,2,High Risk,0
MSA101163,30,24,17525.72,1733946.06,-7.91,3,13,7,No,Balanced,Private,Low,9,Medium Risk,0
MSA101164,61,5,30156.04,2344599.68,-3.94,9,10,3,No,Balanced,SME,Medium,1,Medium Risk,0
MSA101165,42,8,18266.0,2257536.01,13.82,3,2,10,Yes,Balanced,Government,High,3,Low Risk,0
MSA101166,59,10,25184.73,1373711.89,16.88,3,6,9,Yes,Balanced,Government,Low,7,Medium Risk,1
MSA101167,52,17,33137.32,4200078.23,-1.52,3,8,9,No,Growth,Corporate,High,4,Medium Risk,1
MSA101168,48,9,22369.06,3342993.3,-4.29,9,36,12,Yes,High Growth,Private,Medium,4,High Risk,0
MSA101169,61,22,34889.64,460812.29,-9.2,9,25,6,Yes,Balanced,Self Employed,Low,5,Medium Risk,0
MSA101170,59,19,24630.73,4304938.25,18.43,4,44,4,Yes,Growth,SME,Low,4,High Risk,0
MSA101171,58,14,16274.49,686930.89,10.52,7,47,8,Yes,High Growth,SME,High,4,Medium Risk,0
MSA101172,74,8,20530.07,2296326.35,18.71,7,40,3,Yes,Growth,Corporate,Low,6,Medium Risk,0
MSA101173,58,9,31971.75,3063783.66,15.92,8,7,2,Yes,Growth,Private,High,5,High Risk,0
MSA101174,59,22,21707.14,221279.67,0.21,4,46,12,Yes,Conservative,Government,High,9,Medium Risk,0
MSA101175,45,11,27444.48,3480855.12,-6.62,6,23,1,Yes,Growth,Government,Medium,1,Medium Risk,0
MSA101176,69,23,23566.62,3389880.55,4.97,7,19,0,No,Growth,Self Employed,High,0,High Risk,0
MSA101177,48,1,13795.13,3513449.27,-9.2,1,46,10,Yes,High Growth,Government,Low,0,Medium Risk,1
MSA101178,47,14,26007.38,1045237.29,-5.5,4,22,5,No,Growth,SME,High,3,Medium Risk,0
MSA101179,30,5,27576.58,1554960.02,-3.0,7,13,9,No,Conservative,Self Employed,Low,1,Medium Risk,1
MSA101180,43,21,13313.52,1513393.31,9.97,3,21,1,Yes,Balanced,Private,High,5,Medium Risk,0
MSA101181,31,14,34606.78,5043282.57,5.3,10,1,7,Yes,Balanced,Self Employed,Medium,8,Medium Risk,0
MSA101182,57,4,23561.96,459573.53,-0.93,1,59,5,Yes,High Growth,Private,Medium,9,Low Risk,0
MSA101183,59,22,39733.5,2320887.46,6.94,10,19,11,No,High Growth,Government,High,9,Medium Risk,0
MSA101184,67,23,28368.95,4529511.83,-6.24,3,33,11,No,Growth,Corporate,High,7,Medium Risk,0
MSA101185,33,1,39493.09,3983012.67,12.67,1,4,4,Yes,High Growth,Self Employed,High,3,Low Risk,0
MSA101186,30,22,36396.9,4202088.52,11.36,4,42,12,No,Growth,Self Employed,Medium,1,High Risk,0
MSA101187,37,23,17791.25,5047557.24,-3.5,8,3,1,No,High Growth,SME,High,0,Medium Risk,0
MSA101188,58,19,30775.35,1993521.97,8.19,8,27,6,Yes,Balanced,SME,High,6,Medium Risk,0
MSA101189,68,8,22528.48,1591113.61,5.1,3,52,1,No,Balanced,Private,Low,9,Medium Risk,0
MSA101190,32,15,20492.16,348586.48,-8.18,3,41,12,Yes,Balanced,Corporate,Medium,2,High Risk,0
MSA101191,61,21,29451.53,900597.84,-1.66,7,35,13,Yes,Balanced,SME,Medium,5,Medium Risk,0
MSA101192,39,15,35815.79,3021507.54,19.98,5,28,4,No,Growth,SME,High,4,Medium Risk,0
MSA101193,39,9,41748.62,861991.95,-7.01,8,6,1,Yes,Growth,Government,High,4,Medium Risk,0
MSA101194,48,21,15565.34,3717657.83,5.19,1,6,10,Yes,Growth,Government,Low,1,Medium Risk,1
MSA101195,63,9,29110.04,355829.39,15.48,6,55,9,Yes,Balanced,SME,High,8,Medium Risk,0
MSA101196,62,10,38519.03,1509363.72,-0.98,8,57,10,Yes,Conservative,Private,Medium,3,Medium Risk,0
MSA101197,52,20,14435.32,3586543.96,-2.18,10,44,10,No,Balanced,Corporate,Low,9,Medium Risk,1
MSA101198,57,21,21233.61,1347605.98,16.72,7,23,1,Yes,Balanced,SME,Medium,0,High Risk,0
MSA101199,61,9,35205.71,3853667.3,-0.86,3,33,14,Yes,Conservative,Private,High,1,Medium Risk,0
MSA101200,36,3,25494.0,5181860.18,9.54,2,16,6,No,Conservative,Private,Low,8,Medium Risk,0
MSA101201,58,20,23604.13,4222993.58,12.21,7,24,8,No,High Growth,SME,Medium,6,Low Risk,0
MSA101202,37,11,26987.18,1950390.52,13.66,6,5,4,No,Balanced,Private,Medium,9,Medium Risk,0
MSA101203,30,6,38045.33,4557607.91,19.84,9,41,6,No,Conservative,Self Employed,Medium,1,Medium Risk,0
MSA101204,32,2,23889.63,415900.69,14.1,8,42,3,Yes,High Growth,Private,High,6,Low Risk,0
MSA101205,53,7,36198.22,3656746.78,9.71,6,13,1,No,Conservative,SME,High,3,Low Risk,0
MSA101206,52,18,23247.7,365877.54,16.86,5,47,2,No,Conservative,Private,High,9,Low Risk,0
MSA101207,37,2,21402.76,968483.7,17.17,5,12,1,Yes,High Growth,SME,High,1,Low Risk,0
MSA101208,66,17,33552.57,5010166.42,19.19,3,5,4,No,Balanced,Government,Medium,3,Medium Risk,0
MSA101209,32,11,19799.51,1992721.32,13.29,1,37,5,Yes,High Growth,SME,Low,4,Medium Risk,0
MSA101210,62,12,37196.76,4234040.92,-4.15,6,31,14,Yes,Balanced,Private,High,3,Medium Risk,0
MSA101211,57,19,13883.07,2124013.23,11.29,3,28,14,No,Conservative,SME,Low,2,Medium Risk,0
MSA101212,37,22,23886.13,4310492.83,-7.75,3,28,6,Yes,High Growth,Corporate,Medium,5,Low Risk,0
MSA101213,63,24,16724.46,4913657.82,-0.46,2,30,2,Yes,Growth,SME,High,0,Medium Risk,0
MSA101214,64,7,29673.29,2318552.4,-6.53,3,18,3,Yes,Conservative,SME,Medium,7,Medium Risk,0
MSA101215,61,20,23354.24,2905272.5,18.5,1,44,7,No,High Growth,Corporate,High,4,Low Risk,0
MSA101216,53,6,16196.32,3386742.48,0.16,7,27,3,Yes,Conservative,Corporate,High,7,Medium Risk,0
MSA101217,43,21,16462.05,4759657.27,11.4,5,35,6,Yes,High Growth,Corporate,Low,9,Low Risk,0
MSA101218,61,24,33404.64,1408750.23,7.14,6,26,11,Yes,Balanced,Self Employed,Medium,3,Medium Risk,0
MSA101219,72,1,14604.72,3249284.4,-6.77,7,57,5,No,Growth,SME,Medium,3,Low Risk,0
MSA101220,45,17,13874.07,1741337.13,6.84,10,39,6,Yes,Conservative,Corporate,Medium,4,Low Risk,0
MSA101221,33,11,14617.57,1325493.24,9.83,2,49,0,Yes,Growth,Corporate,Low,4,Medium Risk,0
MSA101222,66,22,32969.47,571616.68,16.45,5,51,2,Yes,Balanced,Government,Low,5,Medium Risk,0
MSA101223,50,18,14370.18,3218266.78,-7.9,3,18,5,Yes,High Growth,Self Employed,Medium,4,Low Risk,0
MSA101224,43,21,24681.0,4585727.12,-1.13,5,33,2,Yes,Growth,SME,Medium,4,Medium Risk,0
MSA101225,60,17,16654.97,1918875.8,10.77,9,25,14,Yes,High Growth,Private,High,7,Low Risk,0
MSA101226,47,7,23514.83,3012718.25,-8.97,8,56,13,Yes,Balanced,Self Employed,High,5,Medium Risk,0
MSA101227,36,17,26366.99,3363091.29,-3.89,7,31,14,Yes,Conservative,Self Employed,Low,1,Medium Risk,1
MSA101228,39,20,20478.03,2317519.38,-3.44,5,37,13,No,Balanced,Government,High,3,Medium Risk,0
MSA101229,36,9,33103.62,4726849.86,10.08,7,59,6,Yes,Growth,SME,Medium,3,Low Risk,0
MSA101230,62,17,40975.62,2072847.05,-1.42,1,2,8,Yes,Growth,SME,Medium,4,Medium Risk,0
MSA101231,52,20,29203.17,676054.56,7.99,6,33,2,No,Growth,Corporate,High,5,Low Risk,0
MSA101232,50,22,27767.33,944689.77,18.96,6,39,13,Yes,High Growth,Corporate,High,4,Medium Risk,0
MSA101233,48,22,25096.23,4563853.19,13.8,4,43,0,No,Conservative,Self Employed,Low,5,Medium Risk,0
MSA101234,48,8,40198.15,5103738.81,-0.01,3,43,9,Yes,Growth,Government,High,7,Low Risk,0
MSA101235,65,17,25842.65,1582624.36,4.17,8,32,14,Yes,Growth,SME,Low,3,Medium Risk,0
MSA101236,58,7,32473.36,983456.49,-3.98,1,18,12,No,Growth,Government,High,2,Low Risk,0
MSA101237,47,1,29369.58,2451533.79,-9.53,2,17,5,Yes,Balanced,Private,High,8,Medium Risk,0
MSA101238,31,13,31581.05,3617550.91,-1.31,5,34,11,No,Growth,SME,High,2,High Risk,0
MSA101239,30,23,25029.86,3109498.4,1.08,3,39,0,Yes,Balanced,Corporate,High,7,Medium Risk,0
MSA101240,34,19,18786.02,4775209.5,6.93,8,7,0,Yes,Growth,Self Employed,Medium,9,Medium Risk,0
MSA101241,49,24,18320.52,4163624.53,18.32,7,42,13,No,Balanced,Government,Medium,4,Medium Risk,0
MSA101242,40,19,13733.23,4543542.22,18.44,8,54,7,No,High Growth,Corporate,Medium,8,Medium Risk,0
MSA101243,71,17,25452.16,2840572.44,-7.9,4,53,8,No,High Growth,Self Employed,High,2,Low Risk,0
MSA101244,31,13,22258.76,1902456.21,8.44,8,35,1,Yes,Balanced,Corporate,Low,9,Low Risk,0
MSA101245,32,16,20353.47,3688964.25,-8.73,9,30,8,Yes,Conservative,SME,High,9,Low Risk,0
MSA101246,52,8,31657.67,2306884.55,9.44,4,12,4,No,Conservative,Government,Medium,7,Medium Risk,0
MSA101247,41,19,28360.41,1564852.49,-6.47,4,35,12,No,Balanced,Private,Low,6,High Risk,1
MSA101248,49,18,34824.61,886667.89,18.39,9,11,7,No,High Growth,Corporate,Low,6,Medium Risk,0
MSA101249,34,1,18213.09,2872523.33,15.93,1,44,6,Yes,Balanced,Government,Medium,9,Medium Risk,0
MSA101250,66,14,13897.55,3000696.16,-9.33,4,57,6,Yes,Conservative,SME,High,8,Low Risk,0
MSA101251,67,19,35682.29,3024911.13,13.46,2,4,3,No,Balanced,Corporate,Low,7,Medium Risk,0
MSA101252,59,15,31934.83,838068.4,9.08,1,25,1,Yes,High Growth,SME,Low,2,Medium Risk,0
MSA101253,38,18,26964.74,2947308.23,4.86,2,48,4,No,Conservative,Private,Medium,5,Medium Risk,0
MSA101254,63,2,31379.53,1024798.83,8.08,5,32,13,Yes,Conservative,Private,Low,5,Low Risk,1
MSA101255,73,22,33315.43,3386400.12,10.35,7,20,10,Yes,Growth,Self Employed,Low,4,Medium Risk,0
MSA101256,64,17,37097.22,2382669.78,16.53,4,50,10,Yes,Growth,Self Employed,Low,2,Medium Risk,0
MSA101257,51,18,31255.95,4446755.51,13.02,9,31,2,Yes,Conservative,Self Employed,High,8,Medium Risk,0
MSA101258,73,6,24377.37,4079344.44,7.26,5,4,14,Yes,Conservative,SME,High,6,Low Risk,0
MSA101259,53,19,33957.81,3872959.16,14.74,10,54,13,Yes,Balanced,Self Employed,Medium,3,Medium Risk,0
MSA101260,46,4,35097.56,3714560.64,19.61,10,38,8,Yes,High Growth,Government,High,5,Medium Risk,0
MSA101261,39,1,16406.6,2889317.8,-0.99,8,53,5,No,Conservative,SME,Low,4,Low Risk,1
MSA101262,59,8,28703.59,363089.2,-6.45,9,47,0,No,High Growth,SME,High,0,Medium Risk,0
MSA101263,52,23,10283.45,3319675.64,11.94,7,1,2,No,Conservative,Self Employed,Low,1,Medium Risk,0
MSA101264,61,7,31884.48,2416975.78,19.36,9,3,11,Yes,High Growth,Self Employed,Low,0,Medium Risk,1
MSA101265,46,3,25642.39,2418746.83,-6.5,3,37,3,No,Growth,SME,High,8,Low Risk,0
MSA101266,46,10,36729.27,2162042.87,2.95,4,22,8,No,Conservative,Private,High,8,Medium Risk,0
MSA101267,43,10,17470.26,4834076.03,-8.13,8,17,10,Yes,Balanced,Private,High,4,Medium Risk,0
MSA101268,38,19,31437.37,1449502.77,13.3,5,14,5,No,High Growth,Self Employed,High,7,Medium Risk,0
MSA101269,69,14,30419.88,1656973.54,18.46,9,41,3,Yes,Conservative,Private,Medium,9,Medium Risk,0
MSA101270,31,2,38848.44,5053427.87,4.97,9,35,0,Yes,Growth,Government,High,3,Medium Risk,0
MSA101271,74,1,44359.18,4161758.99,2.29,4,58,7,Yes,Growth,Government,Medium,0,Low Risk,0
MSA101272,54,23,29943.8,253676.74,17.23,8,13,13,Yes,Growth,Government,Low,3,Low Risk,0
MSA101273,68,23,33488.81,4785174.62,-6.0,2,35,10,Yes,Growth,SME,Medium,6,Medium Risk,0
MSA101274,38,18,7857.07,1272023.13,16.75,4,43,1,Yes,Conservative,SME,Low,1,High Risk,0
MSA101275,51,7,26793.36,3616196.07,1.76,6,2,10,No,Balanced,SME,Medium,1,Medium Risk,0
MSA101276,72,8,20289.48,2873343.88,6.78,3,56,14,Yes,High Growth,SME,Medium,5,Medium Risk,0
MSA101277,33,1,14214.32,2749051.82,5.85,6,47,10,No,Balanced,SME,Low,8,Medium Risk,1
MSA101278,55,23,35438.31,3852176.55,8.48,6,13,7,No,High Growth,Self Employed,Medium,2,Medium Risk,0
MSA101279,58,3,11279.76,1304484.29,18.26,3,51,5,Yes,Balanced,Private,Low,6,Low Risk,0
MSA101280,74,24,20475.39,866572.4,18.53,8,54,7,No,Conservative,Self Employed,High,9,High Risk,0
MSA101281,63,23,26658.09,3343521.4,14.93,7,16,5,Yes,Conservative,Private,Low,8,Medium Risk,0
MSA101282,52,8,24306.63,1544122.18,-4.25,4,18,4,No,High Growth,Self Employed,Medium,8,Low Risk,0
MSA101283,66,22,19665.13,5024831.53,0.01,3,7,4,No,Conservative,Government,High,3,Medium Risk,0
MSA101284,40,15,33583.47,2443395.6,4.63,9,45,13,No,High Growth,Corporate,Medium,1,Medium Risk,0
MSA101285,35,5,21823.03,672399.25,17.16,9,36,13,No,Balanced,SME,High,0,Low Risk,0
MSA101286,47,3,23159.85,3513669.07,5.63,3,41,9,Yes,Conservative,Corporate,Low,5,Low Risk,0
MSA101287,50,19,35296.43,1654849.5,19.32,1,30,9,Yes,Conservative,Corporate,High,4,Medium Risk,0
MSA101288,71,1,28386.83,807989.77,19.52,8,42,10,Yes,High Growth,Government,High,5,High Risk,0
MSA101289,65,15,28087.56,2202200.65,7.96,7,41,7,Yes,High Growth,Corporate,High,6,Medium Risk,0
MSA101290,70,8,40634.91,5017821.28,16.32,2,7,6,No,High Growth,Corporate,Medium,8,Medium Risk,0
MSA101291,67,2,27747.84,2166435.35,19.98,6,15,7,No,High Growth,Government,High,9,High Risk,0
MSA101292,63,3,16733.63,1815558.14,15.49,5,40,11,No,Growth,Private,Low,9,Medium Risk,0
MSA101293,46,24,17656.97,2495936.36,9.71,8,19,7,Yes,High Growth,Self Employed,Low,5,Medium Risk,0
MSA101294,66,14,25887.39,223693.74,15.35,3,43,6,Yes,Growth,Corporate,Low,5,Medium Risk,0
MSA101295,54,24,28486.34,794962.62,-7.52,5,37,1,Yes,Balanced,SME,High,2,Medium Risk,0
MSA101296,67,14,17956.52,4374495.36,9.04,2,2,10,Yes,High Growth,Government,Low,7,High Risk,1
MSA101297,41,11,25252.39,4910920.34,-3.5,10,42,14,Yes,Growth,Corporate,Medium,8,Medium Risk,0
MSA101298,52,16,29271.17,1014000.35,-6.52,8,48,8,Yes,Growth,Private,Low,0,Medium Risk,0
MSA101299,71,4,16354.07,2734743.2,16.79,8,55,12,Yes,Growth,Private,High,5,Low Risk,0
MSA101300,51,20,19880.46,5055129.5,9.19,7,13,6,No,Conservative,SME,Low,6,High Risk,0
MSA101301,50,5,30964.82,930477.81,-2.69,5,40,11,Yes,Growth,Corporate,High,7,Low Risk,0
MSA101302,56,22,17117.21,989033.61,1.6,9,41,10,Yes,High Growth,SME,High,9,High Risk,0
MSA101303,60,21,30753.67,4694100.95,19.2,2,43,14,Yes,High Growth,Private,Low,7,Medium Risk,0
MSA101304,35,14,20628.36,3636061.85,15.87,8,43,5,No,High Growth,Private,Medium,6,Medium Risk,0
MSA101305,56,23,29996.2,954866.1,-9.53,3,55,8,Yes,Growth,Self Employed,Medium,7,Medium Risk,0
MSA101306,69,16,19639.17,2035122.72,19.39,4,58,12,Yes,Growth,Private,Low,8,Medium Risk,0
MSA101307,63,18,33619.31,570081.22,1.06,6,31,0,Yes,Conservative,Government,High,9,High Risk,0
MSA101308,41,7,23309.68,2210012.09,10.86,8,16,10,No,Balanced,Self Employed,Low,6,High Risk,0
MSA101309,74,10,30107.48,4059082.4,11.38,9,42,1,Yes,Conservative,SME,High,2,Medium Risk,0
MSA101310,36,7,23316.31,3004463.67,17.35,6,56,12,Yes,High Growth,Private,High,8,Low Risk,0
MSA101311,39,1,26398.16,3272029.5,16.55,5,44,0,Yes,High Growth,Government,High,0,Medium Risk,0
MSA101312,74,23,22055.77,1690810.65,-1.55,10,57,9,Yes,High Growth,Self Employed,Medium,7,Medium Risk,0
MSA101313,46,21,25665.45,915624.79,9.31,3,6,11,Yes,Conservative,Government,Medium,5,Medium Risk,0
MSA101314,55,19,34501.8,130664.55,1.81,8,28,2,No,High Growth,Self Employed,Low,2,Low Risk,0
MSA101315,50,16,21016.04,4185636.1,5.77,7,32,10,No,High Growth,Self Employed,Medium,8,Medium Risk,0
MSA101316,57,19,13248.06,3362763.07,6.64,4,44,4,Yes,High Growth,Self Employed,High,5,Low Risk,0
MSA101317,31,4,29163.92,1372187.14,1.89,1,10,0,Yes,Growth,SME,High,6,Medium Risk,0
MSA101318,72,18,23469.07,2131395.1,3.92,5,50,3,No,Balanced,Self Employed,Low,1,Medium Risk,0
MSA101319,30,2,35912.72,4072652.18,-3.75,3,18,13,Yes,Growth,Self Employed,High,0,Medium Risk,1
MSA101320,65,1,24081.36,2773789.92,8.23,2,4,12,Yes,Growth,Government,Low,0,Medium Risk,1
MSA101321,55,15,26159.79,1560434.39,12.77,2,9,7,Yes,Balanced,Self Employed,Low,2,Medium Risk,0
MSA101322,58,5,19618.4,1416530.36,2.89,4,7,5,No,Balanced,SME,High,2,Medium Risk,0
MSA101323,50,20,21996.5,1362111.42,19.33,7,50,12,No,Conservative,Government,Medium,7,Low Risk,0
MSA101324,40,11,27207.41,4235997.91,-8.28,9,8,0,Yes,Balanced,Self Employed,High,6,Medium Risk,0
MSA101325,69,10,41003.44,2975941.74,7.67,3,43,11,Yes,Conservative,Government,High,9,Medium Risk,0
MSA101326,40,2,33538.37,3780402.97,7.51,5,7,0,Yes,Conservative,SME,Low,7,High Risk,1
MSA101327,65,3,14978.74,4347404.18,-8.91,5,41,2,Yes,Growth,Government,Medium,0,Medium Risk,0
MSA101328,68,23,24096.87,5138325.43,-3.26,6,40,13,Yes,High Growth,SME,Low,3,Low Risk,1
MSA101329,69,23,15190.63,1348902.75,17.17,8,3,9,Yes,Growth,Private,High,7,Low Risk,0
MSA101330,64,12,34870.13,1083388.31,6.34,6,17,14,Yes,Growth,Self Employed,Low,9,High Risk,0
MSA101331,63,20,23363.16,2410069.8,3.09,9,2,7,Yes,Balanced,SME,Low,1,High Risk,0
MSA101332,53,5,17559.49,426810.83,2.46,6,15,10,Yes,Balanced,Self Employed,High,6,Low Risk,0
MSA101333,51,5,21502.63,4165815.51,16.64,6,46,10,No,Conservative,SME,Low,7,Medium Risk,0
MSA101334,34,6,18886.59,4541866.99,1.01,5,29,13,Yes,Conservative,Corporate,High,8,Medium Risk,0
MSA101335,62,9,34197.67,3537218.51,15.78,8,50,7,No,Conservative,Corporate,Low,6,Low Risk,0
MSA101336,65,2,21013.0,1426140.37,-0.72,9,48,12,Yes,Balanced,Corporate,Medium,8,Medium Risk,1
MSA101337,49,21,12483.13,815874.6,5.95,7,52,2,Yes,Conservative,SME,High,1,Low Risk,0
MSA101338,48,12,17939.64,1947745.73,-5.69,8,22,6,No,Conservative,Self Employed,Medium,0,Medium Risk,0
MSA101339,64,3,28215.38,4349342.32,14.75,2,4,11,No,Balanced,Corporate,Low,0,Low Risk,1
MSA101340,72,20,20966.42,2004431.63,12.08,9,57,2,Yes,High Growth,Self Employed,Medium,3,High Risk,0
MSA101341,46,22,12749.39,288228.14,5.9,3,52,3,Yes,Growth,SME,Medium,0,Low Risk,0
MSA101342,74,12,24601.72,1582322.86,-9.22,3,6,8,No,Balanced,Self Employed,Medium,6,Medium Risk,0
MSA101343,72,24,19952.02,5178529.77,4.44,1,38,12,Yes,Conservative,Self Employed,Low,7,Low Risk,0
MSA101344,63,17,25657.62,3513345.34,-3.24,10,26,3,No,Growth,Corporate,High,2,High Risk,0
MSA101345,38,10,22399.7,4656234.41,2.4,9,11,2,No,Balanced,Government,Low,0,Medium Risk,0
MSA101346,55,24,32612.64,3963752.07,15.69,9,26,4,No,Growth,Private,Low,2,Medium Risk,0
MSA101347,31,14,27313.62,2908253.3,13.09,9,17,6,No,Growth,SME,Low,1,Medium Risk,0
MSA101348,38,23,25214.0,1025394.92,-2.74,5,24,4,Yes,High Growth,SME,High,5,Medium Risk,0
MSA101349,38,17,21223.3,1970763.17,19.55,9,28,3,Yes,Conservative,SME,Low,6,Medium Risk,0
MSA101350,69,18,36099.22,3044931.12,17.1,10,35,7,Yes,Balanced,Private,Low,8,Medium Risk,0
MSA101351,46,19,17009.21,4365674.13,5.86,6,31,3,Yes,Conservative,Government,High,4,Low Risk,0
MSA101352,30,17,41358.56,1562704.48,5.9,3,13,1,No,High Growth,Self Employed,High,3,Medium Risk,0
MSA101353,54,14,16748.09,886880.0,17.04,7,54,9,Yes,High Growth,SME,High,0,Medium Risk,0
MSA101354,72,9,29129.98,2845582.97,9.08,10,35,12,No,Balanced,Self Employed,Medium,5,Medium Risk,0
MSA101355,69,8,36173.92,975375.05,6.1,9,16,13,Yes,Balanced,Corporate,High,7,Medium Risk,0
MSA101356,71,2,22194.54,3208944.76,12.47,9,15,5,Yes,High Growth,Corporate,Medium,3,Low Risk,0
